

| 序号 | 单词 | 词性 | 释义 |
| 1147 | excess | adj. | 过量的， 额外的 n. 超越； 过量， 过度 |
| 1148 | recruit | vt. | 招募，吸收 n. 新兵； 新成员 |
| 1149 | overstate | v. | 夸张，夸大 |
| 1150 | generalization | n. | 概括 |
| 1151 | hub | n. | 中心 |
| 1152 | conservative | adj. | 保守的，守旧的；不时兴的，传统的 n. 保守的人 |
| 1153 | restock | v. | 重新进货，再储存 |
| 1154 | convict | vt. | 证明…有罪， 宣判…有罪 n. 囚犯 |
| 1155 | deepen | v. | 使加深，加剧 |
| 1156 | tank | n. | 大容器，槽；坦克 |
| 1157 | negative | adj. | 否定的，消极的；负的；阴性的 n. 负片， 底片； 负数 |
| 1158 | accelerate | vt. | 使加快， 使增速 |
| 1159 | territory | n. | 领土， 版图； 领域 |
| 1160 | impact | n. | 影响， 作用， 冲击 |
| 1161 | distraction | n. | 分心的事； 心烦意乱； 精神错乱； 娱乐， 消遣 |
| 1162 | resolve | n&v. | 解决， 解答； 决定， 决意 |
| 1163 | refuse | v. | 拒绝 |
| 1164 | soluble | adj. | 可溶的；可以解决的 |
| 1165 | brave | adj. | 勇敢的； 华丽的 |
| 1166 | hat | n. | 帽子（一般指有边的） |
| 1167 | beach | n. | 海滩，湖滩，河滩 |
| 1168 | authority | n. | 官方； 权力； 当权者， 行政管理机构； 权威， 专家 |
| 1169 | roast | v. | 烤，炙，烘 adj. 烤过的， 烘过的 n. 烤肉 |
| 1170 | amplify | v. | 放大，扩大；增强 |
| 1171 | bulk | vi. | 变得越来越大； 使更大 n. 物体；体积；大批 |
| 1172 | put | v. | 放，摆；使处于 |
| 1173 | stable | adj. | 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚 |
| 1174 | certificate | n. | 证书，证件，执照；（毕业）文凭，合格证书 |
| 1175 | dragon | n. | 龙 |
| 1176 | accommodation | n. | 住处；工作场所 |
| 1177 | December | n. | 十二月 |
| 1178 | president | n. | 总统；（某组织的）最高权力人 |
| 1179 | lately | adv. | 最近，不久前 |
| 1180 | down | adv. | 向下；在下面 |
| 1181 | lake | n. | 湖 |
| 1182 | nor | conj. | 既不…也不…；也不 |
| 1183 | bench | n. | 长凳，条凳 |
| 1184 | rug | n. | 小地毯；毛毯 |
| 1185 | mirror | n. | 镜子 v. 与〔另一事物〕相似；反映 |
| 1186 | draw | v. | 画，划 |
| 1187 | net | n. | 网，网状物；互联网 |
| 1188 | quiet | adj. | 安静的；寂静的 |
| 1189 | water | n. | 水 v. 使湿，灌溉 |
| 1190 | nervous | adj. | 神经的；易激动的 |
| 1191 | nevertheless | conj. | 然而 adv. 仍然 |
| 1192 | fight | v. | 打（仗）；斗争 |
| 1193 | missing | adj. | 缺掉的， 失踪的 |
| 1194 | lift | v. | 提起，提高 n. 电梯 |
| 1195 | refrigerator | n. | 冰箱， 冷藏库 |
| 1196 | dirty | adj. | 脏的；下流的 |
| 1197 | rent | v. | 租借，租用；出租，出借 n. 租金； 出租 |
| 1198 | abroad | adv. | 到国外； 在传播， 在流传 |
| 1199 | offend | vt. | 冒犯， 伤害…的感情； 使厌恶； 违反 |
| 1200 | belong | v. | 属于 |
| 1201 | arouse | vt. | 引起； 唤起， 唤醒 |
| 1202 | modify | vt. | 更改， 修改； 修饰 |
| 1203 | express | v. | 表示 n. 快车；快递 |
| 1204 | imagine | v. | 想象，设想 |
| 1205 | barrier | n. | 栅栏； 检票口； 屏障； 障碍， 隔阂 |
| 1206 | lane | n. | 小路； 跑道； 航道， 航线 |
| 1207 | notebook | n. | 笔记本，期票簿 |
| 1208 | realm | n. | 界， 领域， 范围； 王国， 国度 |
| 1209 | lever | n. | 控制杆；杆，杠杆 |
| 1210 | midst | n. | 中部，中间，当中 |
| 1211 | pilot | adj. | 试验性的， 试点的 n. 引航员；飞行员 vt. 驾驶；为引航；试验，试用 |
| 1212 | direct | adj. | 直接的；直率的 |
| 1213 | tour | n. | 旅行，旅游 v. 旅游，游历 |
| 1214 | get | v. | 获得，得到；到达；变成，成为 |
| 1215 | advertisement | n. | 广告， 公告， 登广告； 广告活动， 宣传 |
| 1216 | ribbon | n. | 缎带， 丝带； 色带 |
| 1217 | partner | vi. | 做…的搭档 n. 伙伴，合伙人，搭档，配偶 |
| 1218 | hamburger | n. | 汉堡包，牛肉饼 |
| 1219 | climb | v. | 攀登，爬 |
| 1220 | differ | vi. | 不同， 相异； 发生分歧 |
| 1221 | public | adj. | 公众的 n. 公众 |
| 1222 | palace | n. | 宫，宫殿 |
| 1223 | pulse | vi. | 搏动， 跳动 n. 脉搏；脉冲 |
| 1224 | immediately | adv. | 立即；（immediately involved）直接地 |
| 1225 | cow | n. | 母牛，奶牛；母兽 |
| 1226 | toast | n. | 烤面包；祝酒，祝酒词 vt. 烘， 烤； 向…祝酒， 为…干杯 |
| 1227 | scenery | n. | 风景， 景色； 舞台布景 |
| 1228 | fun | n. | 乐趣，娱乐；玩笑 |
| 1229 | living | adj. | 活的 n. 生活，生计 |
| 1230 | Mediterranean | n. | 地中海 adj. 地中海的 |
| 1231 | worth | adj. | 值…的 n. 价值 |
| 1232 | conquer | vt. | 征服， 战胜； 破除， 克服 |
| 1233 | enthusiasm | n. | 热情， 热心， 热忱； 巨大兴趣 |
| 1234 | brood | n. | 同窝幼鸟 v. 孵（蛋） |
| 1235 | tip | v. | 轻击；给小费 |
| 1236 | execute | vt. | 将…处死； 实施， 执行 |
| 1237 | conceal | vt. | 把…隐藏起来， 掩盖， 隐瞒 |
| 1238 | certain | adj. | 肯定的；确实的 |
| 1239 | apparent | adj. | 表面上的， 明显的 |
| 1240 | messenger | n. | 送信者，信使 |
| 1241 | youth | n. | 青春；青年们；青年 |
| 1242 | naval | adj. | 海军的，军舰的 |
| 1243 | downward | adj. | 向下的 adv. 向下地 |
| 1244 | fact | n. | 事实；实际，实情 |
| 1245 | hut | n. | 小屋， 棚屋 |
| 1246 | monument | n. | 纪念碑， 纪念馆； 历史遗迹 |
| 1247 | cool | adj. | 凉的；冷静的 |
| 1248 | governor | n. | 州长； 主管人员； 理事， 董事 |
| 1249 | program | n. | 程序；节目单 |
| 1250 | illness | n. | 病，疾病 |
| 1251 | normal | adj. | 正常的， 平常的； 正规的， 规范的 |
| 1252 | population | n. | 人口；全体居民 |
| 1253 | order | n. | 次序；整齐 v. 命令 |
| 1254 | learning | n. | 学习； 学问， 知识 |
| 1255 | everywhere | adv. | 到处，处处 |
| 1256 | stage | n. | 阶段；舞台 |
| 1257 | everyone | pron. | 每人，人人 |
| 1258 | sting | v. | 刺，蜇，叮 n. 刺伤处，蜇伤处 |
| 1259 | hatch | v. | （蛋）孵化；孵出 |
| 1260 | honey | n. | 蜜， 蜂蜜； 甜， 甜蜜； [常用于称呼] 宝贝儿 |
| 1261 | nest | v. | 筑巢 n. 巢，窝，穴 |
| 1262 | calendar | n. | 日历， 历书， 历法 |
| 1263 | manual | adj. | 用手的；手工做的 n. 手册， 指南 |
| 1264 | cabinet | n. | 橱， 柜； 内阁 |
| 1265 | more | adj. | 更多的 adv. 更 |
| 1266 | apple | n. | 苹果 |
| 1267 | never | adv. | 永不，决不；不 |
| 1268 | laughter | n. | 笑， 笑声 |
| 1269 | idiom | n. | 习语，成语 |
| 1270 | impressive | adj. | 给人印象深刻的 |
| 1271 | fourteen | num. | 十四 |
| 1272 | on | prep. | 在…上 |
| 1273 | stack | n. | 堆，垛 vt. 堆积， 堆放于 |
| 1274 | cast | vt. | 投，扔，抛；浇铸 n. 演员表， 全体演员； 石膏绷带； 铸型， 铸件； 投， 抛 |
| 1275 | pump | n. | 泵 vt. 抽， 泵送， 打气 |
| 1276 | animal | n. | 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts） |
| 1277 | mend | v. | 修补，缝补；修理 |
| 1278 | dozen | n. | 一打，十二个 |
| 1279 | bathe | v. | 洗澡； 游泳 |
| 1280 | emphasis | n. | 强调； 重点， 重要性 |
| 1281 | shortage | n. | 不足，缺少，不足额 |
| 1282 | contrary | adj. | 相反的 n. 相反 |
| 1283 | tunnel | v. | 挖， 开 n. 隧道，坑道，地道 |
| 1284 | minimum | adj. | 最低的， 最小的 n. 最低限度；最小量 |
| 1285 | hedge | v. | 用篱笆围； 避免直接回答 n. 篱笆，树篱；障碍物 |
| 1286 | bundle | n. | 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入 |
| 1287 | stretch | v. | 伸展，延续；伸长，拉长；倾注全力；紧张 n. 一段时间， 一段路程， 连绵的一片； 伸展， 延伸 |
| 1288 | electrical | adj. | 电的， 电气科学的 |
| 1289 | artificial | adj. | 人工的， 人为的； 矫揉造作的； 模拟的 |
| 1290 | grateful | adj. | 感激的； 令人愉快的 |
| 1291 | classmate | n. | 同班同学 |
| 1292 | personal | adj. | 个人的；本人的 |
| 1293 | shift | v. | 移动，转移；改变，转变 n. 转换， 转变； 轮班 |
| 1294 | preceding | adj. | 在前的， 在先的， 前面的 |
| 1295 | board | vi. | 搭伙； 膳宿 n. 板，牌子；木板，纸板；委员会，董事会；伙食 vt. 上 |
| 1296 | custom | n. | 习惯，风俗；海关 |
| 1297 | patch | n. | 补丁；斑，与周围不同的部分；一小块地 vt. 补， 修补 |
| 1298 | jar | v. | 感到不快； 震动， 摇动 n. 罐子，坛子，广口瓶 |
| 1299 | defeat | n&vt. | 战胜， 挫败 |
| 1300 | child | n. | 小孩，儿童；儿子/女儿 |
| 1301 | education | n. | 教育；训导 |
| 1302 | stair | n. | 楼梯 |
| 1303 | ornament | n. | 装饰物；装饰 |
| 1304 | downstairs | adv. | 在楼下 adj. 楼下的 |
| 1305 | hare | n. | 野兔 |
| 1306 | brook | n. | 小河，溪流 |
| 1307 | employ | v. | 雇用；用；使忙于 |
| 1308 | may | modal v | erb. 可能；可以；祝 |
| 1309 | province | n. | 省； 领域， 范围 |
| 1310 | freeze | v. | 冻；结冻 |
| 1311 | artistic | adj. | 艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的 |
| 1312 | ambulance | n. | 救护车； 野战医院 |
| 1313 | fee | n. | 费； 酬金， 赏金 |
| 1314 | greeting | n. | 问候，招呼，致敬 |
| 1315 | sincere | adj. | 真诚的， 诚挚的 |
| 1316 | steel | n. | 钢，钢铁 |
| 1317 | guard | v. | 守卫；看守 n. 卫兵 |
| 1318 | worthy | adj. | 值得尊敬的；值得的 |
| 1319 | breakfast | n. | 早饭，早餐 |
| 1320 | sympathize | vi. | 同情， 怜悯； 体谅； 赞同 |
| 1321 | notice | v. | 注意 n. 注意；通知 |
| 1322 | percentage | n. | 百分比， 百分率 |
| 1323 | money | n. | 货币；金钱；财富 |
| 1324 | best | adj. | 最好的；最大的 |
| 1325 | meet | v. | 遇见 |
| 1326 | crown | n. | 王冠，冕；花冠 |
| 1327 | beginning | n. | 开始，开端；起源 |
| 1328 | mathematical | adj. | 数学的，数学上的 |
| 1329 | juice | n. | （水果等）汁，液 |
| 1330 | meadow | n. | 草地，牧草地 |
| 1331 | fish | n. | 鱼；鱼肉 v. 钓鱼 |
| 1332 | incorrect | adj. | 不正确的，错误的 |
| 1333 | lose | v. | 失去；迷失；输掉 |
| 1334 | man | n. | 男人；人；人类 |
| 1335 | mere | adj. | 仅仅的； 纯粹的 |
| 1336 | bell | n. | 钟，铃，门铃；钟声 |
| 1337 | mean | v. | 作…解释；意指 |
| 1338 | surrender | n&v. | 交出， 放弃； 投降 |
| 1339 | complicate | v. | 使复杂；使陷入 |
| 1340 | English | n. | 英语 adj. 英国人的 |
| 1341 | gardener | n. | 园丁， 花匠 |
| 1342 | call | v. | 把…叫做；叫，喊 |
| 1343 | pleasant | adj. | 令人愉快的，舒适的 |
| 1344 | conversion | n. | 转变，转化；改变 |
| 1345 | adopt | vt. | 收养； 采用， 采取； 正式通过， 批准 |
| 1346 | master | n. | 能手；主人；硕士 |
| 1347 | pipe | n. | 管子，导管；烟斗 |
| 1348 | communicate | v. | 通讯； 交际， 交流； 连接， 相通； 传达， 传播； 传染 |
| 1349 | bike | n. | 自行车 v. 骑自行车 |
| 1350 | trumpet | n. | 喇叭，小号 vt. 大声宣告， 鼓吹 |
| 1351 | canoe | n. | 独木舟，皮艇，划子 |
| 1352 | entertain | vt. | 使欢乐； 招待， 请客 |
| 1353 | abandon | vt. | 离弃，丢弃；遗弃，抛弃；放弃 n. 放任； 纵情 |
| 1354 | lorry | n. | 运货汽车， 卡车 |
| 1355 | congress | n. | 代表大会； [C-]国会， 议会 |
| 1356 | double | adj. | 双的；两倍的 |
| 1357 | confident | adj. | 确信的， 肯定的； 自信的 |
| 1358 | extreme | adj. | 极度的；末端的 n. 极端， 过分 |
| 1359 | frequency | n. | 屡次； 次数， 频率 |
| 1360 | confess | vt. | 供认， 坦白； 承认 |
| 1361 | elevator | n. | 电梯， 升降机 |
| 1362 | kilogram | n. | 千克，公斤 |
| 1363 | industrial | adj. | 工业的， 产业的 |
| 1364 | explosive | adj. | 爆炸的； 极易引起争论的 n. 炸药 |
| 1365 | swear | v. | 宣（誓）；诅咒 |
| 1366 | departure | n. | 离开， 起程， 出发； 背离， 违背 |
| 1367 | elastic | adj. | 有弹性的， 灵活的 n. 松紧带 |
| 1368 | break | v. | 打破；损坏；破坏 |
| 1369 | capital | n. | 首都；资本，资金 |
| 1370 | progress | n. | 前进；进展；进步 |
| 1371 | paste | n. | 糊，糨糊 vt. 粘， 贴 |
| 1372 | exam | n. | 考试；检查，细查 |
| 1373 | inhabit | v. | 居住于，栖息于 |
| 1374 | ministry | n. | （政府的）部 |
| 1375 | stem | vi. | 起源 n. 茎，干；词干 vt. 堵住， 止住， 停住 |
| 1376 | core | n. | 果实的心； 核心， 要点 |
| 1377 | correspondent | n. | 通讯员；通信者 |
| 1378 | possibly | adv. | 可能地；也许 |
| 1379 | roll | v. | 滚动；转动 |
| 1380 | repair | v. | 修理，修补 n. 修理，修补 |
| 1381 | broken | adj. | 被打碎的；骨折的 |
| 1382 | wax | n. | 蜡，蜂蜡 vt. 给…上蜡 |
| 1383 | centimetre | n. | 公分， 厘米 |
| 1384 | gaseous | adj. | 气体的，气态的 |
| 1385 | lecture | n. | 演讲，讲课 v. 演讲，讲课 |
| 1386 | recommendation | n. | 推荐， 推荐信； 建议； 优点， 可取之处 |
| 1387 | bleed | vi. | 出血， 流血； 泌脂 vt. 勒索…的钱 |
| 1388 | kid | v. | 戏弄， 开玩笑 n. 小孩；年轻人 |
| 1389 | become | v. | 变得；变成；成为 |
| 1390 | rid | vt. | 使摆脱， 解除…的负担， 从…中清除 |
| 1391 | land | n. | 土地；陆地 v. 上岸 |
| 1392 | bold | adj. | 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的 |
| 1393 | prison | n. | 监狱；监禁 |
| 1394 | modest | adj. | 谦虚的；不太大的；不很贵的 |
| 1395 | leather | n. | 皮革， 皮革制品 |
| 1396 | length | n. | 长，长度；一段 |
| 1397 | prosperous | adj. | 繁荣的， 兴旺的 |
| 1398 | grammatical | adj. | 语法上的 |
| 1399 | turbine | n. | 叶轮机， 汽轮机 |
| 1400 | contempt | n. | 轻蔑；藐视；受辱 |
| 1401 | settlement | n. | 解决； 协议； 居留地 |
| 1402 | label | n. | 标签；标记，符号 vt. 贴标签于； 把…称为 |
| 1403 | dew | n. | 露，露水 |
| 1404 | professor | n. | 教授 |
| 1405 | nothing | n. | 没有东西 adv. 毫不 |
| 1406 | palm | n. | 手掌， 掌状物； 棕榈树 |
| 1407 | limit | n. | 限度；限制；范围 |
| 1408 | crude | adj. | 简陋的， 天然的； 粗鲁的， 粗俗的 |
| 1409 | cold | adj. | 冷的；冷淡的 n. 冷 |
| 1410 | frank | adj. | 坦白的， 直率的 |
| 1411 | forget | v. | 忘记，遗忘 |
| 1412 | bean | n. | 豆， 蚕豆 |
| 1413 | appear | v. | 似乎；出现；来到 |
| 1414 | price | n. | 价格，价钱；代价 |
| 1415 | emotion | n. | 情感， 感情； 激动 |
| 1416 | worst | adj. | 最坏的 adv. 最坏地 |
| 1417 | moan | n. | 呻吟声 v. 呻吟 |
| 1418 | terrible | adj. | 可怕的；极度的 |
| 1419 | dollar | n. | 元〔美国、加拿大、澳大利亚等国的货币单位〕 |
| 1420 | answer | v. | 回答；响应 |
| 1421 | barn | n. | 谷仓； 牲口棚 |
| 1422 | learn | v. | 学，学习 |
| 1423 | industry | n. | 工业，产业；勤劳 |
| 1424 | friendly | adj. | 友好的；友谊的 |
| 1425 | pale | adj. | 苍白的；浅的 |
| 1426 | dramatic | adj. | 引人注目的， 激动人心的； 突然的 |
| 1427 | rhythm | n. | 韵律，格律；节奏 |
| 1428 | local | adj. | 地方性的； 本地的； 局部的； 狭隘的 |
| 1429 | nuclear | adj. | 核子的， 核能的， 核武器的； 核心的 |
| 1430 | gentleman | n. | 绅士；有教养的人 |
| 1431 | exactly | adv. | 确切地；恰恰正是 |
| 1432 | shield | n. | 防护物，护罩；盾 vt. 保护， 防护 |
| 1433 | hawk | n. | 鹰，隼 |
| 1434 | network | n. | 网状物； 广播网， 电视网； 网络 |
| 1435 | disease | n. | 病， 疾病； 不健全； 弊端 |
| 1436 | French | adj. | 法国的 n. 法国人 |
| 1437 | aural | adj. | 耳的，听觉的 |
| 1438 | basket | n. | 篮，篓，筐 |
| 1439 | interpreter | n. | 译员，口译者 |
| 1440 | mountain | n. | 山，山岳；山脉 |
| 1441 | activity | n. | 活动； 活力； 行动 |
| 1442 | lung | n. | 肺脏，肺 |
| 1443 | throughout | prep. | 遍及 adv. 到处 |
| 1444 | measurable | adj. | 可测量的 |
| 1445 | clasp | n. | 扣子，钩子；别针 |
| 1446 | unit | n. | 单位；单元；部件 |
| 1447 | spring | v. | 跳，跃 n. 泉；跳跃 |
| 1448 | home | n. | 家；家乡 adj. 家庭的 |
| 1449 | grammar | n. | 语法； 语法书 |
| 1450 | army | n. | 军队；陆军 |
| 1451 | clock | n. | 钟，仪表 |
| 1452 | ladder | n. | 梯子，梯状物 |
| 1453 | doubt | n. | 怀疑；疑虑 v. 怀疑 |
| 1454 | fork | n. | 餐叉；叉；分叉 |
| 1455 | course | n. | 课程；过程；一道菜 |
| 1456 | envy | n. | 妒忌，羡慕；妒忌的对象 vt. 妒忌， 羡慕 |
| 1457 | duck | n. | 鸭；中文释义: 雌鸭；鸭肉 |
| 1458 | remark | vt. | 说；评论说 n. 话语； 谈论， 评论 |
| 1459 | native | adj. | 本土的 n. 本地人 |
| 1460 | purchase | vt. | 买，购买 n. 购买； 购买的物品 |
| 1461 | explode | vi. | 爆炸； 激增； 发怒 vt. 使爆炸 |
| 1462 | tragedy | n. | 悲剧， 惨事， 惨案； 悲剧艺术 |
| 1463 | scissors | n. | 剪刀，剪子 |
| 1464 | atom | n. | 原子；微粒；微量 |
| 1465 | suck | v. | 吸， 吮， 啜； 吸收 |
| 1466 | flag | n. | 旗，旗帜 |
| 1467 | person | n. | 人；人身；本人 |
| 1468 | cliff | n. | 悬崖， 峭壁 |
| 1469 | hair | n. | 头发；毛发；毛 |
| 1470 | clever | adj. | 聪明的；机敏的 |
| 1471 | chimney | n. | 烟囱，烟筒 |
| 1472 | orphan | n. | 孤儿 |
| 1473 | plane | n. | 飞机；平面 |
| 1474 | queen | n. | 女王；王后；王后 |
| 1475 | really | adv. | 真正地；实在 |
| 1476 | hook | n. | 钩，挂钩 v. 钩住 |
| 1477 | recognition | n. | 认出， 识别； 承认； 赏识， 表彰， 报偿 |
| 1478 | leaf | n. | 叶，叶子 |
| 1479 | preliminary | adj. | 预备的，初步的 n. 初步做法， 起始行为 |
| 1480 | meeting | n. | 聚集，会合；会见 |
| 1481 | property | n. | 财产， 所有物； 房产； 物业； 性质， 性能 |
| 1482 | correct | adj. | 正确的 v. 纠正 |
| 1483 | month | n. | 月，月份 |
| 1484 | destination | n. | 目的地， 终点， 目标 |
| 1485 | purse | n. | 钱包，小钱袋；手袋 |
| 1486 | route | n. | 路线， 路程 |
| 1487 | error | n. | 错误， 谬误， 差错 |
| 1488 | trust | n. | 信任 v. 相信；委托 |
| 1489 | quick | adj. | 快的；敏捷的 |
| 1490 | hunger | n. | 饿，饥饿；渴望 |
| 1491 | fearful | adj. | 害怕的， 可怕的； 不安的， 忧虑的 |
| 1492 | suspicion | n. | 怀疑， 疑心， 猜疑； 一点儿， 少量 |
| 1493 | knowledge | n. | 知识，学识；知道 |
| 1494 | dish | n. | 碟，盘子；菜肴 |
| 1495 | amuse | vt. | 逗…乐， 给…娱乐 |
| 1496 | cheque | n. | 支票 |
| 1497 | orchestra | n. | 管弦乐队 |
| 1498 | favourite | adj. | 特别受喜爱的 n. 特别受喜爱的人 |
| 1499 | centre | n. | 中心；中枢 v. 集中 |
| 1500 | come | v. | 来，来到；出现 |
| 1501 | lion | n. | 狮子；勇猛的人 |
| 1502 | berry | n. | 浆果（如草莓等） |
| 1503 | edition | n. | 版， 版本， 版次 |
| 1504 | hatred | n. | 憎恶， 憎恨， 仇恨 |
| 1505 | poverty | n. | 贫穷， 贫困 |
| 1506 | type | n. | 型，类型 v. 打字 |
| 1507 | pleasure | n. | 愉快，快乐；乐事 |
| 1508 | banner | n. | 横幅； 旗， 旗帜 |
| 1509 | experiment | n. | 实验；试验 |
| 1510 | pear | n. | 梨子，梨树 |
| 1511 | Marxism | n. | 马克思主义 |
| 1512 | drip | vi. | 滴下，漏水 n. 水滴； 滴水声 |
| 1513 | dictation | n. | 口授笔录；听写 |
| 1514 | advisable | adj. | 明智的， 可取的 |
| 1515 | mind | n. | 头脑；理智；记忆 |
| 1516 | blow | v. | 吹；吹动；吹响 |
| 1517 | model | n. | 模型；模特儿 |
| 1518 | compass | n. | 罗盘， 指南针； 圆规； 界限， 范围 |
| 1519 | germ | n. | 微生物， 细菌； 幼芽 |
| 1520 | probably | adv. | 或许，大概 |
| 1521 | library | n. | 图书馆；藏书 |
| 1522 | my | det. | 我的 |
| 1523 | beloved | adj. | 为…所爱的 n. 爱人 |
| 1524 | nephew | n. | 侄子， 外甥 |
| 1525 | aluminium | n. | 铝 |
| 1526 | rarely | adv. | 很少， 难得 |
| 1527 | subsequent | adj. | 随后的， 后来的 |
| 1528 | itself | pron. | 它自己；自身 |
| 1529 | jewish | adj. | 犹太人的 |
| 1530 | journey | vi. | 旅行 n. 旅行，旅程 |
| 1531 | bite | v. | 咬；咬，叮，螫；剌穿 |
| 1532 | bullet | n. | 枪弹， 子弹， 弹丸 |
| 1533 | history | n. | 历史；个人经历 |
| 1534 | list | n. | 表，目录 v. 列举 |
| 1535 | new | adj. | 新的；新近出现的 |
| 1536 | van | n. | 大篷车， 运货车 |
| 1537 | amount | n. | 总数；数量；和 |
| 1538 | early | adv. | 早 adj. 早的，早期的 |
| 1539 | number | n. | 数，数字；号码 |
| 1540 | hint | v. | 暗示， 示意 n. 暗示，示意；细微的迹象；建议 |
| 1541 | fashionable | adj. | 流行的， 时髦的 |
| 1542 | tolerate | vt. | 忍受， 容忍； 容许， 承认 |
| 1543 | condense | v. | 冷凝， 凝结； 浓缩， 压缩， 简缩 |
| 1544 | flash | vi. | 闪， 闪烁； 飞驰 n. 闪光；闪光灯 |
| 1545 | flour | n. | 面粉； 粉， 粉状物质 |
| 1546 | catch | v. | 捉住；赶上；领会 |
| 1547 | purple | n. | 紫色 adj. 紫的 |
| 1548 | feed | v. | 喂（养）；吃饲料 |
| 1549 | league | n. | 联合会；同盟，联盟 |
| 1550 | exert | v. | 运用；尽（力） |
| 1551 | finding | n. | 发现； 调查的结果； 裁决 |
| 1552 | foreign | adj. | 外国的；外来的 |
| 1553 | shave | v. | 剃，刮，刨，削；修面，刮脸 n. 修面， 刮脸 |
| 1554 | following | adj. | 接着的，下列的 n. 一批追随者 |
| 1555 | play | v. | 玩，游戏；演奏 |
| 1556 | steamer | n. | 轮船， 汽船 |
| 1557 | lump | v. | 结块； 将…归并在一起 n. 块，肿块 |
| 1558 | prince | n. | 王子；亲王 |
| 1559 | formation | n. | 形成， 构成， 形成物； 队形， 排列 |
| 1560 | inward | adv. | 向内 adj. 里面的；内心的 |
| 1561 | plentiful | adj. | 丰富的， 充足的； 大量的 |
| 1562 | insurance | n. | 保险， 保险费 |
| 1563 | humorous | adj. | 富于幽默的，诙谐的 |
| 1564 | dissolve | v. | 溶解； 解散； 消失， 减弱； 结束 |
| 1565 | prior | adj. | 在前的； 优先的 |
| 1566 | farther | adv. | 更远地 adj. 更远的 |
| 1567 | liner | n. | 班船，班机 |
| 1568 | mist | v. | 蒙上薄雾； 模糊 n. 薄雾 |
| 1569 | exceedingly | adv. | 极端地， 非常 |
| 1570 | coil | n. | （一）卷；线圈 v. 卷 |
| 1571 | wit | n. | 风趣； 妙语； 智力， 才智， 智能 |
| 1572 | spin | v. | 旋转；晕眩；纺，织；绞干，甩干 n. 旋转， 自转 |
| 1573 | noise | n. | 喧闹声；响声；噪声 |
| 1574 | masterpiece | n. | 杰作，名著 |
| 1575 | illustration | n. | 说明， 图解， 例证 |
| 1576 | recent | adj. | 新近的，最近的 |
| 1577 | compute | v. | 计算，估计，估算 |
| 1578 | difficulty | adj. | 困难；难事；困境 |
| 1579 | electricity | n. | 电，电学；电流 |
| 1580 | past | adj. | 过去的 n. 过去 |
| 1581 | alloy | n. | 合金；（金属的）成色 |
| 1582 | temple | n. | 圣堂， 神殿， 庙宇 |
| 1583 | feast | n. | 盛宴；筵席；节日 |
| 1584 | invitation | n. | 邀请， 招待； 请柬； 吸引， 诱惑 |
| 1585 | group | n. | 小组，群 v. 聚集 |
| 1586 | visual | adj. | 看得见的 n. 视觉资料 |
| 1587 | atmospheric | adj. | 大气的；大气层的 |
| 1588 | stranger | n. | 陌生人；新来者 |
| 1589 | present | adj. | 现在的 n. 目前 |
| 1590 | frog | n. | 蛙 |
| 1591 | music | n. | 音乐，乐曲；乐谱 |
| 1592 | simply | adv. | 简单地；朴素地 |
| 1593 | heart | n. | 心，内心；勇气 |
| 1594 | easily | adv. | 容易地 |
| 1595 | suspend | vt. | 暂停， 终止； 吊， 悬 |
| 1596 | burn | v. | 烧，燃烧 n. 烧伤 |
| 1597 | workman | n. | 工人， 劳动者， 工匠 |
| 1598 | leadership | n. | 领导 |
| 1599 | jealous | adj. | 妒忌的， 猜疑的； 精心守护的 |
| 1600 | can | n. | 罐头，听头；容器 |
| 1601 | cotton | n. | 棉；棉线；棉布 |
| 1602 | European | adj. | 欧洲的 n. 欧洲人 |
| 1603 | explain | v. | 解释；为…辩解 |
| 1604 | natural | adj. | 自然界的；天然的 |
| 1605 | clean | adj. | 清洁的；纯洁的 |
| 1606 | rebel | vi. | 反叛， 造反； 反对， 不服从 n. 反叛分子， 反对者 |
| 1607 | rain | n. | 雨，雨水 v. 下雨 |
| 1608 | management | n. | 管理； 处理； 管理部门； 管理人员 |
| 1609 | eighth | num. | 第八 n. 八分之一 |
| 1610 | bread | n. | 面包；食物，粮食 |
| 1611 | sorrow | n. | 悲痛， 悲哀， 悲伤； 伤心事， 不幸的事 |
| 1612 | cattle | n. | 牛； 牲口， 家畜 |
| 1613 | inspect | vi. | 进行检查； 进行视察 vt. 检查，审查；检阅 |
| 1614 | mental | adj. | 心理的， 精神的， 思想上的； 精神病的； 智力的 |
| 1615 | mushroom | vi. | 迅速成长 n. 蘑菇 |
| 1616 | beautiful | adj. | 美的，美丽的 |
| 1617 | descend | vi. | 下来， 下降； 下倾 |
| 1618 | Fahrenheit | n. | 华氏温度 |
| 1619 | freedom | n. | 自由；自主 |
| 1620 | lumber | n. | 木材；木料；制材 |
| 1621 | encounter | vt. | 遭遇，遇到 n. 遭遇 |
| 1622 | toe | n. | 脚趾；足尖 |
| 1623 | touch | v. | 触摸；触动；感动 n. 触 |
| 1624 | troublesome | adj. | 令人烦恼的， 麻烦的 |
